iter	Passed	Remaining
437	1378	1768
438	1379	1763
439	1382	1759
440	1394	1767
441	1397	1764
442	1403	1764
443	1405	1760
444	1407	1755
445	1409	1750
446	1411	1745
447	1413	1741
448	1416	1737
449	1418	1733
450	1420	1728
451	1421	1723
452	1423	1719
453	1425	1714
454	1426	1708
455	1428	1704
456	1433	1702
457	1434	1697
458	1436	1692
459	1437	1687
460	1438	1682
461	1440	1677
462	1441	1672
463	1444	1668
464	1447	1665
465	1449	1661
466	1451	1656
467	1453	1651
468	1455	1647
469	1457	1643
470	1464	1644
471	1465	1639
472	1467	1634
473	1468	1629
474	1469	1624
475	1471	1619
476	1472	1614
477	1476	1612
478	1479	1609
479	1482	1605
480	1484	1602
481	1490	1601
482	1493	1598
483	1495	1594
484	1496	1589
485	1498	1584
486	1499	1579
487	1500	1574
488	1501	1569
489	1506	1567
490	1508	1563
491	1509	1558
492	1511	1554
493	1512	1549
494	1514	1545
495	1515	1540
496	1517	1535
497	1521	1534
498	1523	1529
499	1524	1524
500	1526	1520
501	1527	1515
502	1528	1510
503	1530	1506
504	1531	1501
505	1536	1500
506	1538	1496
507	1540	1491
508	1541	1487
509	1543	1482
510	1544	1478
511	1546	1473
512	1551	1472
513	1552	1468
514	1554	1463
515	1555	1459
516	1556	1454
517	1558	1449
518	1559	1445
519	1560	1440
520	1566	1439
521	1568	1436
522	1571	1433
523	1573	1429
524	1576	1425
525	1582	1425
526	1583	1421
527	1585	1417
528	1586	1412
529	1588	1408
530	1589	1403
531	1591	1399
532	1592	1395
533	1595	1391
534	1596	1387
535	1598	1383
536	1600	1379
537	1601	1375
538	1602	1370
539	1604	1366
540	1606	1362
541	1610	1360
542	1611	1356
543	1613	1352
544	1614	1348
545	1616	1343
546	1617	1339
547	1619	1335
548	1624	1334
549	1626	1330
550	1628	1326
551	1629	1322
552	1631	1318
553	1632	1314
554	1634	1310
555	1638	1308
556	1640	1305
557	1642	1300
558	1643	1296
559	1644	1292
560	1646	1288
561	1647	1284
562	1649	1279
563	1656	1280
564	1659	1277
565	1661	1274
566	1663	1270
567	1668	1269
568	1671	1265
569	1673	1262
570	1674	1258
571	1676	1254
572	1678	1250
573	1680	1247
574	1683	1244
575	1684	1240
576	1686	1236
577	1689	1233
578	1690	1229
579	1691	1225
580	1696	1223
581	1698	1219
582	1700	1216
583	1701	1212
584	1703	1208
585	1704	1204
586	1706	1200
587	1708	1197
588	1711	1194
589	1713	1190
590	1716	1187
591	1717	1183
592	1719	1180
593	1720	1176
594	1726	1175
595	1728	1171
596	1730	1167
597	1731	1164
598	1733	1160
599	1735	1156
600	1736	1152
601	1740	1150
602	1742	1147
603	1745	1144
604	1747	1140
605	1749	1137
606	1750	1133
607	1757	1132
608	1759	1129
609	1760	1125
610	1763	1122
611	1765	1119
612	1769	1117
613	1771	1113
614	1773	1110
615	1774	1106
616	1777	1103
617	1778	1099
618	1779	1095
619	1781	1091
620	1786	1090
621	1788	1086
622	1789	1083
623	1791	1079
624	1792	1075
625	1793	1071
626	1795	1067
627	1796	1064
628	1799	1061
629	1801	1058
630	1803	1054
631	1804	1051
632	1806	1047
633	1807	1043
634	1808	1039
635	1815	1039
636	1817	1035
637	1818	1031
638	1819	1028
639	1821	1024
640	1822	1020
641	1823	1016
642	1825	1013
643	1828	1011
644	1830	1007
645	1832	1004
646	1834	1000
647	1835	997
648	1837	993
649	1838	990
650	1842	987
651	1845	984
652	1846	981
653	1848	977
654	1849	974
655	1850	970
656	1852	966
657	1853	963
658	1855	960
659	1857	956
660	1858	953
661	1860	949
662	1862	946
663	1863	942
664	1865	939
665	1866	936
666	1868	932
667	1870	929
668	1873	926
669	1874	923
670	1875	919
671	1877	916
672	1878	912
673	1879	909
674	1881	905
675	1882	902
676	1885	899
677	1886	896
678	1888	892
679	1890	889
680	1891	886
681	1893	882
682	1894	879
683	1896	875
684	1898	872
685	1900	869
686	1902	866
687	1903	863
688	1905	859
689	1906	856
690	1907	853
691	1909	849
692	1910	846
693	1911	842
694	1914	840
695	1917	837
696	1919	834
697	1920	831
698	1922	827
699	1923	824
700	1925	821
701	1926	817
702	1929	815
703	1931	812
704	1933	808
705	1934	805
706	1936	802
707	1937	799
708	1939	795
709	1940	792
710	1941	789
711	1944	786
712	1946	783
713	1947	780
714	1949	777
715	1951	773
716	1952	770
717	1954	767
718	1955	764
719	1958	761
